ëŒè€í∏ì_,ó◊ê⁄ï”,,
0,0,1,
1,2,3,
2,4,5,
3,0,6,
4,1,2,7
5,3,4,8
6,5,9,
7,6,10,11
8,7,12,13
9,8,14,15
10,9,16,17
11,10,18,
12,11,12,19
13,13,14,20
14,15,16,21
15,17,22,
16,18,23,24
17,19,25,26
18,20,27,28
19,21,29,30
20,22,31,32
21,23,33,
22,24,25,34
23,26,27,35
24,28,29,36
25,30,31,37
26,32,38,
27,33,39,
28,34,40,41
29,35,42,43
30,36,44,45
31,37,46,47
32,38,48,
33,39,40,49
34,41,42,50
35,43,44,51
36,45,46,52
37,47,48,53
38,49,54,
39,50,55,56
40,51,57,58
41,52,59,60
42,53,61,
43,54,55,62
44,56,57,63
45,58,59,64
46,60,61,65
47,62,66,
48,63,67,68
49,64,69,70
50,65,71,
51,66,67,
52,68,69,
53,70,71,
